"","Net","Start_Time_hh","Start_Time_mm","End_Time_hh","End_Time_mm","Year.XXXX.","Month.XX.","Day.XX.","Fishermen","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","Speed","High_Sea","Net_Type","box_only","night_drag_prawn","Anshubi","Bakala","Barbon","Ben_Gurion","Crab","Denis","Farida","Fish","Gambari","Gerbida","Hazir","Hulim","Intias","Jelly_Fish","Kalamari","Lavan","Makarunim","Malitta","Marmir","Musar","Palamud","Pas_Tzahov","Rofus","Rofus_Fake","Sabida","Saragus","Sardin","Scombri","Soltan","Soltan_Fake","Soltan_Mix","Special","Tarachun","Taref","Televisia","Trulus","Missing","Many.Nasralas","Comments","Lokus","Muslach","Gitara","Box_General","Tziporot","Varod","Vest","Shed.Yam","Very_weak","Daba","Octepus","Adom","Hazaim","Lokus_manot","Soltan_Hul","Gerbid_new","barbon_vadim","Cristal","Gomber","Vak.Vak","Shark","Pijama","Aras","Draging_time","Net_index","site","Direction"
"21",3387,19,30,"0","0",2018,1,6,"Michael","Ashdod",17.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"10",NA,"0.5",NA,NA,NA,"4 Kg",NA,NA,"1.25",NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"3387_6_1_2018","Ashdod",NA
"22",3388,0,30,"5","45",2018,1,6,"Michael","Ashdod",17,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"14",NA,"1",NA,NA,NA,"0.5",NA,NA,"0.5",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,"3388_6_1_2018","Ashdod",NA
"23",3389,6,15,"11","0",2018,1,7,"Michael","Ashdod",18,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"5",NA,NA,NA,"0.5",NA,NA,NA,NA,"0.5",NA,NA,"11",NA,NA,NA,NA,NA,"1","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,"3389_7_1_2018","Ashdod",NA
"24",3390,11,45,"16","15",2018,1,7,"Michael","Ashdod",18,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"0.25",NA,NA,"8.5",NA,NA,"0.25",NA,NA,"1","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",FALSE,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"3390_7_1_2018","Ashdod",NA
"25",3391,16,45,"21","30",2018,1,7,"Michael","Ashdod",18,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"6",NA,NA,NA,NA,NA,"0.5",NA,NA,"0.5",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,"3391_7_1_2018","Ashdod",NA
"26",3392,22,0,"2","30",2018,1,7,"Michael","Ashdod",18,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"5",NA,"0.5",NA,NA,NA,NA,NA,NA,"0.5",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"3392_7_1_2018","Ashdod",NA
"27",3400,14,45,"17","0",2018,1,9,"Michael","Ashdod",22,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,"3",NA,NA,NA,NA,NA,"1","2 Kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"0.5",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,"3400_9_1_2018","Ashdod",NA
"28",3441,10,45,"15","0",2018,1,29,"Michael","Ashdod",19,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,"3441_29_1_2018","Ashdod",NA
"29",3446,13,0,"17","30",2018,1,30,"Michael","Ashdod",18.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"3446_30_1_2018","Ashdod",NA
"30",3449,7,0,"12","30",2018,1,31,"Michael","Ashdod",19.5,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"FALSE",NA,NA,NA,NA,"1",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,"3449_31_1_2018","Ashdod",NA
