"","X","Net","Net_index","Start_Time_hh","Start_Time_mm","End_Time_hh","End_Time_mm","Year.XXXX.","Month.XX.","Day.XX.","Fishermen","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","Speed","High_Sea","Net_Type","box_only","night_drag_prawn","Many.Nasralas","Very_weak","Missing","Comments","Draging_time","Site","Direction","Lat_shore","Lon_shore","Perpendicular","Adom","Anshubi","Aras","Bakala","Barbon","Ben_Gurion","Box_General","Crab","Cristal","Daba","Denis","Farida","Fish","Gambari","Gerbida","Gitara","Gomber","Hazaim","Hazir","Hulim","Intias","Jelly_Fish","Kalamari","Lavan","Lokus","Lokus_manot","Makarunim","Malitta","Marmir","Musar","Muslach","Octepus","Palamud","Pas_Tzahov","Pijama","Rofus","Rofus_Fake","Sabida","Saragus","Sardin","Scombri","Shark","Shed.Yam","Soltan","Soltan_Fake","Soltan_Hul","Soltan_Mix","Special","Tarachun","Taref","Televisia","Trulus","Tziporot","Vak.Vak","Varod","Vest","Depth_m","Distance_from_shore_km","Depth_specifyed","Distance_specifyed","Location_specifyed","Lon_final","Lat_final","Depth_diff"
"1590",1590,3438,"3438_28_1_2018",12,15,"17","15",2018,1,28,"Levi","Herzelia N",NA,30,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5,"Herzelia","N",32.17,34.8,298,0,0,0,0,40,0,0,0,0,0,0,15,0,0,0,0,0,0,0,25,10,0,100,0,0,0,0,5,0,0,0,0,5,5,0,50,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,NA,54,NA,TRUE,TRUE,34.293222240514,32.3975998874848,NA
"1591",1591,393,"393_27_3_2014",10,30,"13","30",2014,3,27,"Doli","Herzelia N",80,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3,"Herzelia","N",32.17,34.8,298,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,NA,TRUE,NA,TRUE,34.6313552821089,32.2460933453162,1.26079425496604
"1592",1592,1755,"1755_11_11_2015",12,30,"16","30",2015,11,11,"Michael","Herzelia N",24,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,4,"Herzelia","N",32.17,34.8,298,0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,160,0,0,0,0,0,5,0,0,0,3,0,0,110,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,43.2,NA,TRUE,NA,TRUE,34.7307022741373,32.2013101559711,0.233388043835767
"1593",1593,2100,"2100_16_4_2016",13,30,"19","0",2016,4,16,"Michael","Herzelia S",85,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5.5,"Herzelia","S",32.17,34.8,298,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,20,0,153,NA,TRUE,NA,TRUE,34.7709756454365,32.1831210563367,0.156769087141299
"1594",1594,1312,"1312_7_5_2015",7,45,"3","0",2015,5,7,"Levi","Herzelia N",115,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,19.25,"Herzelia","N",32.17,34.8,298,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,0,0,207,NA,TRUE,NA,TRUE,34.6050964110744,32.2579097684049,0.0793452524594045
"1595",1595,3571,"3571_22_3_2018",7,0,"12","0",2018,3,22,"Levi","Herzelia S",80,NA,NA,FALSE,NA,FALSE,NA,TRUE,FALSE,"FALSE",TRUE,FALSE,NA,5,"Herzelia","S",32.17,34.8,298,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,NA,TRUE,NA,TRUE,34.6313552821089,32.2460933453162,1.26079425496604
"1596",1596,1719,"1719_30_10_2015",2,0,"7","0",2015,10,30,"Levi","Herzelia S",50,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5,"Herzelia","S",32.17,34.8,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,5,0,0,0,10,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,NA,TRUE,NA,TRUE,34.6622945065835,32.2321598147576,2.16386069271948
"1597",1597,2947,"2947_17_8_2017",16,0,"19","45",2017,8,17,"Levi","Herzelia S",NA,35,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.75,"Herzelia","S",32.17,34.8,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,NA,63,NA,TRUE,TRUE,34.2085129001992,32.435334073151,NA
"1598",1598,9,"9_3_10_2013",10,45,"14","15",2013,10,3,"Doli","Herzelia S",NA,62,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,3.5,"Herzelia","S",32.17,34.8,298,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,NA,111.6,NA,TRUE,TRUE,33.7498621302454,32.6381063153723,NA
"1599",1599,3888,"3888_29_9_2018",13,0,"18","15",2018,9,29,"Michael","Herzelia S",25,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,"FALSE",FALSE,FALSE,NA,5.25,"Herzelia","S",32.17,34.8,298,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,NA,TRUE,NA,TRUE,34.7250814601934,32.2038471458843,0.0985683039360339
