Net,Start_Time_hh,Start_Time_mm,End_Time_hh,End_Time_mm,Year(XXXX),Month(XX),Day(XX),Fishermen,Fishing_field,Depth,Distance_to_Shore,Commants,Fishing_field_text,Storm,Speed,High_Sea,Net_Type,night,Fish_gear,Net,Anshubi,Bakala,Barbon,Ben_Gurion,Crab,Denis,Farida,Fish,Gambari,Gerbida,Hazir,Hulim,Intias,Jelly_Fish,Kalamari,Lavan,Makarunim,Malitta,Marmir,Musar,Palamud,Pas_Tzahov,Rofus,Rofus_Fake,Sabida,Saragus,Sardin,Scombri,Soltan,Soltan_Fake,Soltan_Mix,Special,Tarachun,Taref,Televisia,Trulus,Missing,Comments,Lokus,Muslach,Gitara,Box_General,Tziporot,Varod,Vest,Shed Yam,Very_weak,Daba,Octepus,Adom,Hazaim,Lokus_manot,Soltan_Hul,Gerbid_new,barbon_vadim,Cristal,Kaptzon
36,,,,,1978,05,31,Shrot,Petach,8,,,,FALSE,,FALSE,,FALSE,FALSE,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,13 Kg,,,,,FALSE,,,,,,,,,,
37,,,,,1978,06,01,Shrot,Bardavil,,,,,FALSE,,FALSE,,FALSE,FALSE,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10 Kg,,,,,FALSE,,,,,,,,,,
38,,,,,1978,06,02,Shrot,keles,8,,,,FALSE,,FALSE,,FALSE,FALSE,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12 Kg,,,,,FALSE,,,,,,,,,,
39,,,,,1978,06,02,Shrot,Borot,,,,,FALSE,,FALSE,,FALSE,FALSE,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,35 Kg,,,,,FALSE,,,,,,,,,,
40,,,,,1978,06,03,Shrot,Mistach,,,,,FALSE,,FALSE,,FALSE,FALSE,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,
41,,,,,1978,06,03,Shrot,keles,8,,,,FALSE,,FALSE,,FALSE,FALSE,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,10 Kg,,,,,FALSE,,,,,,,,,,
42,,,,,1978,06,03,Shrot,Borot,,,,,FALSE,,FALSE,,TRUE,FALSE,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,45 Kg,,,,,FALSE,,,,,,,,,,
43,,,,,1978,06,04,Shrot,Petach W,8,,,,FALSE,,FALSE,,FALSE,FALSE,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,18 Kg,,,,,FALSE,,,,,,,,,,
44,,,,,1978,06,04,Shrot,Petach W,8,,,,FALSE,,FALSE,,FALSE,FALSE,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,12 Kg,,,,,FALSE,,,,,,,,,,
45,,,,,1978,06,04,Shrot,Borot,,,,,FALSE,,FALSE,,TRUE,FALSE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,50 Kg,,,,,FALSE,,,,,,,,,,
